year,Africa,Asia,Europe,North America,Oceania,South America
1837,0.0,0.0,0.386,0.184,0.0,0.0
1838,0.0,0.0,0.397,0.171,0.0,0.0
1839,0.0,0.0,0.406,0.184,0.0,0.0
1840,0.0,0.0,0.429,0.187,0.0,0.0
1841,0.0,0.0,0.439,0.198,0.0,0.0
1842,0.0,0.0,0.459,0.215,0.0,0.0
1843,0.0,0.0,0.466,0.236,0.0,0.0
1844,0.0,0.0,0.489,0.276,0.0,0.0
1845,0.0,0.0,0.53,0.324,0.0,0.0
1846,0.0,0.0,0.531,0.36,0.0,0.0
1847,0.0,0.0,0.572,0.417,0.0,0.0
1848,0.0,0.0,0.568,0.453,0.0,0.0
1849,0.0,0.0,0.594,0.481,0.0,0.0
1850,0.0,0.0,0.632,0.5,0.0,0.0
1851,0.0,0.0,0.618,0.619,0.0,0.0
1852,0.0,0.0,0.637,0.656,0.0,0.0
1853,0.0,0.0,0.655,0.721,0.0,0.0
1854,0.0,0.0,0.773,0.773,0.0,0.0
1855,0.0,0.0,0.768,0.868,0.0,0.0
1856,0.0,0.0,0.815,0.888,0.0,0.0
1857,0.0,0.0,0.816,0.888,0.0,0.0
1858,0.0,0.001,0.821,0.879,0.0,0.0
1859,0.0,0.001,0.86,0.935,0.0,0.0
1860,0.0,0.001,0.944,0.942,0.104,0.0
1861,0.0,0.001,1.0,0.905,0.188,0.0
1862,0.0,0.001,1.008,0.924,0.128,0.0
1863,0.0,0.001,1.054,1.049,0.141,0.0
1864,0.0,0.001,1.13,1.104,0.092,0.0
1865,0.0,0.001,1.201,1.09,0.142,0.0
1866,0.0,0.001,1.233,1.082,0.229,0.0
1867,0.0,0.001,1.282,1.308,0.288,0.0
1868,0.0,0.001,1.287,1.437,0.23,0.0
1869,0.0,0.001,1.338,1.598,0.197,0.0
1870,0.0,0.001,1.347,1.631,0.178,0.0
1871,0.0,0.001,1.425,1.707,0.204,0.0
1872,0.0,0.001,1.527,2.047,0.204,0.0
1873,0.0,0.001,1.594,2.21,0.246,0.0
1874,0.0,0.002,1.467,2.087,0.248,0.0
1875,0.0,0.003,1.606,2.071,0.226,0.0
1876,0.0,0.003,1.631,1.987,0.249,0.0
1877,0.0,0.003,1.615,2.157,0.28,0.0
1878,0.0,0.007,1.619,2.067,0.34,0.0
1879,0.0,0.007,1.658,2.468,0.494,0.0
1880,0.0,0.007,1.851,2.735,0.697,0.0
1881,0.0,0.007,1.885,2.88,0.604,0.0
1882,0.0,0.008,1.934,3.167,0.669,0.0
1883,0.0,0.009,2.028,3.352,0.772,0.0
1884,0.0,0.009,2.0,3.472,0.816,0.0
1885,0.0,0.01,1.991,3.456,0.885,0.0
1886,0.0,0.01,1.974,3.579,0.871,0.0
1887,0.0,0.012,2.033,3.759,0.892,0.034
1888,0.001,0.013,2.137,4.493,0.997,0.028
1889,0.001,0.015,2.22,3.947,0.944,0.053
1890,0.002,0.017,2.304,4.56,0.959,0.041
1891,0.002,0.019,2.366,4.844,1.053,0.028
1892,0.004,0.02,2.311,5.006,1.064,0.041
1893,0.013,0.022,2.228,4.969,1.021,0.045
1894,0.018,0.025,2.399,4.574,1.091,0.055
1895,0.024,0.029,2.442,5.05,1.118,0.076
1896,0.031,0.03,2.533,4.984,1.112,0.075
1897,0.035,0.033,2.637,5.093,1.197,0.071
1898,0.044,0.039,2.699,5.451,1.313,0.08
1899,0.04,0.041,2.851,6.153,1.349,0.092
1900,0.017,0.047,2.965,6.325,2.085,0.076
1901,0.028,0.053,2.915,6.864,2.331,0.152
1902,0.042,0.055,2.891,7.142,2.338,0.171
1903,0.056,0.057,2.984,8.18,2.296,0.175
1904,0.063,0.064,3.013,7.965,2.355,0.193
1905,0.073,0.064,3.074,8.724,2.415,0.201
1906,0.083,0.071,3.145,8.988,2.781,0.264
1907,0.091,0.098,3.454,10.282,2.941,0.266
1908,0.094,0.106,3.479,8.887,3.096,0.306
1909,0.107,0.108,3.457,9.606,2.749,0.27
1910,0.121,0.109,3.48,10.19,3.195,0.341
1911,0.117,0.115,3.543,10.16,3.4,0.371
1912,0.124,0.116,3.66,10.707,3.618,0.38
1913,0.134,0.132,3.953,11.411,3.717,0.393
1914,0.134,0.136,3.511,10.25,4.088,0.314
1915,0.133,0.129,3.322,10.448,3.657,0.27
1916,0.158,0.141,3.465,11.516,3.29,0.239
1917,0.171,0.151,3.395,12.554,3.395,0.187
1918,0.166,0.154,3.08,12.983,3.634,0.186
1919,0.17,0.168,2.606,10.944,3.377,0.214
1920,0.186,0.16,3.01,12.677,3.742,0.238
1921,0.184,0.155,2.731,10.627,3.38,0.23
1922,0.156,0.162,3.026,10.446,3.483,0.268
1923,0.186,0.177,2.87,13.338,3.521,0.302
1924,0.194,0.188,3.287,11.752,3.748,0.365
1925,0.202,0.189,3.232,11.873,3.835,0.388
1926,0.213,0.191,2.749,12.595,3.747,0.394
1927,0.207,0.205,3.482,12.11,3.828,0.425
1928,0.21,0.213,3.47,11.714,3.494,0.435
1929,0.213,0.22,3.738,12.36,3.166,0.467
1930,0.198,0.218,3.509,10.76,2.919,0.387
1931,0.171,0.208,3.252,9.134,2.563,0.334
1932,0.153,0.206,3.0,7.707,2.541,0.371
1933,0.161,0.223,3.067,8.155,2.642,0.414
1934,0.182,0.251,3.333,8.645,2.771,0.461
1935,0.198,0.27,3.476,8.887,3.014,0.499
1936,0.213,0.288,3.666,10.068,3.163,0.472
1937,0.225,0.302,3.951,10.472,3.324,0.587
1938,0.234,0.306,3.942,8.84,3.187,0.532
1939,0.246,0.321,4.007,9.619,3.562,0.531
1940,0.257,0.359,4.237,10.521,3.218,0.561
1941,0.275,0.361,4.054,11.436,3.724,0.55
1942,0.295,0.336,3.759,12.085,3.845,0.51
1943,0.297,0.329,3.756,12.291,3.658,0.503
1944,0.324,0.327,3.527,12.96,3.525,0.545
1945,0.323,0.243,2.295,12.292,3.336,0.535
1946,0.321,0.232,3.075,11.648,3.494,1.148
1947,0.315,0.278,3.53,12.571,3.633,0.587
1948,0.327,0.279,3.787,12.879,3.596,0.642
1949,0.346,0.331,4.108,10.666,3.468,0.638
1950,0.411,0.345,4.334,12.657,5.098,0.992
1951,0.43,0.324,4.741,12.861,5.277,1.126
1952,0.458,0.352,4.848,12.304,5.346,1.181
1953,0.456,0.369,4.938,12.349,5.11,1.143
1954,0.468,0.395,5.202,11.618,5.658,1.194
1955,0.505,0.44,5.608,12.42,5.775,1.308
1956,0.514,0.478,5.917,12.815,5.856,1.379
1957,0.527,0.526,6.111,12.474,5.858,1.405
1958,0.546,0.694,6.114,11.894,5.902,1.266
1959,0.533,0.821,6.189,12.004,6.166,1.357
1960,0.551,0.906,6.542,12.051,6.404,1.335
1961,0.557,0.808,6.714,11.797,6.432,1.316
1962,0.558,0.762,7.016,12.025,6.514,1.368
1963,0.577,0.788,7.39,12.273,6.815,1.355
1964,0.618,0.812,7.689,12.675,7.235,1.384
1965,0.665,0.867,7.849,12.97,7.811,1.406
1966,0.671,0.922,8.056,13.382,7.654,1.439
1967,0.702,0.915,8.172,13.741,7.988,1.488
1968,0.743,0.987,8.493,14.06,8.151,1.563
1969,0.781,1.093,8.899,14.523,8.432,1.651
1970,0.829,1.257,9.277,15.419,8.564,1.75
1971,0.886,1.344,9.568,15.317,8.649,1.754
1972,0.915,1.39,9.85,15.824,8.732,1.793
1973,0.958,1.459,10.226,16.295,9.375,1.898
1974,0.958,1.454,10.193,15.621,9.332,1.968
1975,0.929,1.493,10.193,15.03,9.317,1.902
1976,0.98,1.556,10.69,15.698,9.153,1.895
1977,0.982,1.625,10.717,15.912,9.716,1.922
1978,1.02,1.667,11.004,15.907,10.112,1.997
1979,1.069,1.703,11.214,15.978,10.077,2.09
1980,1.114,1.668,11.169,15.268,10.696,2.101
1981,1.109,1.626,10.717,14.716,10.908,1.979
1982,1.122,1.648,10.588,13.908,10.952,1.941
1983,1.134,1.68,10.555,13.565,10.391,1.881
1984,1.204,1.744,10.586,14.052,10.778,1.863
1985,1.2,1.81,11.003,13.878,10.943,1.863
1986,1.209,1.85,10.976,13.663,10.775,1.926
1987,1.175,1.893,10.959,14.002,11.306,1.986
1988,1.201,2.005,10.969,14.43,11.376,2.028
1989,1.126,2.035,10.88,14.505,11.836,1.987
1990,1.033,2.059,11.126,14.233,11.668,2.019
1991,1.052,2.268,10.684,13.886,11.545,2.008
1992,0.995,2.183,9.776,13.958,11.624,2.011
1993,1.029,2.247,9.363,13.985,11.611,2.088
1994,1.019,2.308,8.861,14.056,11.622,2.108
1995,1.066,2.366,8.829,13.991,11.84,2.166
1996,1.055,2.425,8.891,14.287,11.943,2.212
1997,1.068,2.423,8.608,14.345,12.111,2.298
1998,1.075,2.316,8.575,14.303,12.353,2.418
1999,1.04,2.41,8.464,14.314,12.531,2.435
2000,1.083,2.49,8.464,14.641,12.584,2.349
2001,1.053,2.501,8.641,14.276,12.71,2.348
2002,1.037,2.611,8.595,14.216,12.668,2.358
2003,1.097,2.831,8.788,14.284,12.784,2.36
2004,1.146,2.972,8.823,14.32,12.998,2.357
2005,1.14,3.148,8.8,14.253,12.936,2.421
2006,1.146,3.319,8.924,13.974,12.892,2.423
2007,1.16,3.454,8.846,14.034,12.891,2.469
2008,1.179,3.595,8.723,13.472,12.748,2.617
2009,1.14,3.684,8.005,12.425,12.508,2.55
2010,1.152,3.919,8.301,12.68,12.255,2.754
2011,1.156,4.159,8.186,12.36,12.014,2.781
2012,1.134,4.278,8.104,11.901,11.91,2.853
2013,1.113,4.289,7.877,12.022,11.49,2.987
2014,1.154,4.321,7.555,11.971,11.258,3.004
2015,1.103,4.308,7.546,11.605,11.268,2.89
2016,1.107,4.287,7.524,11.248,11.288,2.764
2017,1.092,4.363,7.555,11.065,11.201,2.673
2018,1.055,4.454,7.51,11.294,11.083,2.507
2019,1.106,4.515,7.264,11.013,10.931,2.506
2020,1.019,4.437,6.707,9.773,10.351,2.274
2021,1.041,4.621,7.112,10.283,10.017,2.476
