gain,vulnerability,readiness,population,country,continent,Low income,Africa,debt_distress,rank,pop_annotation,pop_vulnerability,pop_readiness
65.8,0.295303169467845,0.610711689276635,2107007.0,Slovenia,Europe,,,,20,2.11,0.3,0.61
64.2,0.315245603307101,0.600068659659803,5028230.0,Ireland,Europe,,,,21,5.03,0.32,0.6
64.0,0.341306187633131,0.622171537485219,1329254.0,Estonia,Europe,,,,22,1.33,0.34,0.62
63.7,0.320963267462165,0.5955394333061,11587882.0,Belgium,Europe,,,,23,11.59,0.32,0.6
63.3,0.294589774744593,0.560701217776821,10703446.0,Czech Republic,Europe,,,,24,10.7,0.29,0.56
63.2,0.318927295724673,0.583016900998226,10299423.0,Portugal,Europe,,,,25,10.3,0.32,0.58
62.7,0.286944195602301,0.541446123824467,47326687.0,Spain,Europe,,,,26,47.33,0.29,0.54
61.7,0.361775732912822,0.59505553555274,2795321.0,Lithuania,Europe,,,,27,2.8,0.36,0.6
61.5,0.316538303390242,0.54730755913054,37781024.0,Poland,Europe,,,,28,37.78,0.32,0.55
61.4,0.316738315053455,0.545581479618678,19212362.0,Chile,America,,,,29,19.21,0.32,0.55
61.2,0.357366063675342,0.581589429899431,9991083.0,United Arab Emirates,Asia,,,,30,9.99,0.36,0.58
60.9,0.33100804439047,0.549150628655668,143446060.0,Russia,Europe,,,,31,143.45,0.33,0.55
60.8,0.315452832510749,0.530940850324844,9364000.0,Israel,Asia,,,,32,9.36,0.32,0.53
60.5,0.313800521031788,0.523694641073997,59066225.0,Italy,Europe,,,,33,59.07,0.31,0.52
60.3,0.318850311043105,0.524700325818901,10664568.0,Greece,Europe,,,,34,10.66,0.32,0.52
60.0,0.379479006499044,0.578702295859253,1883162.0,Latvia,Europe,,,,35,1.88,0.38,0.58
59.7,0.330593575132514,0.524911982828791,9340314.0,Belarus,Europe,,,,36,9.34,0.33,0.52
59.1,0.319384400795309,0.502035763848686,516869.0,Malta,Europe,,,,37,0.52,0.32,0.5
59.0,0.387791156911435,0.568193781117773,3708610.0,Georgia,Asia,,,,38,3.71,0.39,0.57
58.8,0.347065635886576,0.52228985277439,1215588.0,Cyprus,Asia,,,,39,1.22,0.35,0.52
58.7,0.342450338955602,0.515710394326057,19002586.0,Kazakhstan,Asia,,,,40,19.0,0.34,0.52
58.1,0.351769820628087,0.513504918375752,5447247.0,Slovakia,Europe,,,,41,5.45,0.35,0.51
58.0,0.378420768133769,0.539153767266404,287708.0,Barbados,America,,,,42,0.29,0.38,0.54
57.9,0.358042116075233,0.516908483302804,441532.0,Brunei Darussalam,Asia,,,,43,0.44,0.36,0.52
57.4,0.374414380208545,0.5230414705172,113015.0,Grenada,America,,,In debt distress,44,0.11,0.37,0.52
57.4,0.360449020179926,0.50852249284414,2930524.0,Qatar,Asia,,,,45,2.93,0.36,0.51
57.4,0.351340563323141,0.498696058493163,9709886.0,Hungary,Europe,,,,46,9.71,0.35,0.5
57.2,0.424462072816754,0.568901937130374,53546.0,St. Kitts and Nevis,America,,,,47,0.05,0.42,0.57
57.2,0.387506873867166,0.531585297156329,1412360000.0,China,Asia,,,,48,1412.36,0.39,0.53
57.1,0.368239193766313,0.510476119185972,32776195.0,Malaysia,Asia,,,,49,32.78,0.37,0.51
56.7,0.420998508252242,0.554162708700374,1266060.0,Mauritius,Africa,,Africa,,50,1.27,0.42,0.55
56.7,0.365502556911375,0.498552710310725,3899000.0,Croatia,Europe,,,,51,3.9,0.37,0.5
56.5,0.380703202953702,0.511378896478372,2968128.0,Armenia,Asia,,,,52,2.97,0.38,0.51
56.5,0.338444929959753,0.468856959370573,6899125.0,Bulgaria,Europe,,,,53,6.9,0.34,0.47
56.5,0.34810691123594,0.477959472086047,85042736.0,Turkey,Asia,,,,54,85.04,0.35,0.48
56.2,0.35299742771939,0.477569786059168,620173.0,Montenegro,Europe,,,,55,0.62,0.35,0.48
55.9,0.389240829713908,0.508229430099217,35340680.0,Saudi Arabia,Asia,,,,56,35.34,0.39,0.51
55.4,0.358684661410737,0.466404329317438,2065092.0,Macedonia,Europe,,,,57,2.07,0.36,0.47
55.2,0.392200650032669,0.495657668339224,3485152.0,Uruguay,America,,,,58,3.49,0.39,0.5
55.2,0.402532203808719,0.50554957747498,5223376.0,Oman,Asia,,,,59,5.22,0.4,0.51
54.9,0.35980206130213,0.45860651141845,5139053.0,Costa Rica,America,,,,60,5.14,0.36,0.46
54.9,0.417229887946025,0.515193013931098,72172.0,Dominica,America,,,High risk of debt distress,61,0.07,0.42,0.52
53.7,0.390005159405343,0.463122836937061,3329282.0,Mongolia,Asia,,,,62,3.33,0.39,0.46
53.0,0.368346142887824,0.428207689448869,43814581.0,Ukraine,Europe,,,,63,43.81,0.37,0.43
52.9,0.369715589665003,0.428280850246819,4328553.0,Kuwait,Asia,,,,64,4.33,0.37,0.43
52.8,0.419051601082963,0.475955866890449,69950844.0,Thailand,Asia,,,,65,69.95,0.42,0.48
52.6,0.397940295675533,0.450590292198766,10145212.0,Azerbaijan,Asia,,,,66,10.15,0.4,0.45
52.5,0.382299988073605,0.431301804136436,11935764.0,Tunisia,Africa,,Africa,,67,11.94,0.38,0.43
52.2,0.37727639616599,0.420880401564705,37344787.0,Morocco,Africa,,Africa,,68,37.34,0.38,0.42
51.7,0.430076163176923,0.463857248563831,99202.0,Seychelles,Africa,,Africa,,69,0.1,0.43,0.46
51.7,0.392210115295438,0.425375616164628,19115146.0,Romania,Europe,,,,70,19.12,0.39,0.43
51.7,0.444411971903379,0.477443628387315,1748295.0,Bahrain,Asia,,,,71,1.75,0.44,0.48
51.6,0.418430758823519,0.450282342811432,6844078.0,Serbia,Europe,,,,72,6.84,0.42,0.45
51.4,0.374988566851631,0.402051922050893,10269022.0,Jordan,Asia,,,,73,10.27,0.37,0.4
50.9,0.421694334067575,0.439127774426933,902899.0,Fiji,Oceania,,,,74,0.9,0.42,0.44
50.4,0.388783716363852,0.397132724388931,85028760.0,Iran,Asia,,,,75,85.03,0.39,0.4
50.2,0.364227859955295,0.369187399890051,3263459.0,Bosnia and Herzegovina,Europe,,,,76,3.26,0.36,0.37
50.1,0.411491956923228,0.413464148563515,2811666.0,Albania,Europe,,,,77,2.81,0.41,0.41
50.1,0.387167413605198,0.388505429697723,4381583.0,Panama,America,,,,78,4.38,0.39,0.39
49.4,0.443524541938072,0.431023946752093,396914.0,Bahamas,America,,,,79,0.4,0.44,0.43
49.3,0.391301865363872,0.376826417766965,45808747.0,Argentina,America,,,,80,45.81,0.39,0.38
49.2,0.357037266859425,0.342033058804949,1403374.0,Trinidad and Tobago,America,,,,81,1.4,0.36,0.34
49.0,0.46772648866443,0.448216926175376,98728.0,Antigua and Barbuda,America,,,,82,0.1,0.47,0.45
49.0,0.450168398508864,0.429245230238493,2397240.0,Botswana,Africa,,Africa,,83,2.4,0.45,0.43
48.6,0.43797173514576,0.410949903581673,33359416.0,Peru,America,,,,84,33.36,0.44,0.41
48.6,0.424300769790627,0.395472573986144,2973462.0,Jamaica,America,,,,85,2.97,0.42,0.4
48.5,0.403547364723798,0.372623122595162,130262220.0,Mexico,America,,,,86,130.26,0.4,0.37
48.4,0.380982520483097,0.349399829167988,213993441.0,Brazil,America,,,,87,213.99,0.38,0.35
48.4,0.408777988145001,0.376896620984179,51265841.0,Colombia,America,,,,88,51.27,0.41,0.38
48.2,0.397479445222299,0.362158496877015,7219641.0,Paraguay,America,,,,89,7.22,0.4,0.36
48.0,0.406496433570361,0.365703216675029,60041996.0,South Africa,Africa,,Africa,,90,60.04,0.41,0.37
47.8,0.479365066515742,0.435326193247529,200144.0,Samoa,Oceania,,,High risk of debt distress,91,0.2,0.48,0.44
47.4,0.379882861042982,0.32887913933732,591798.0,Suriname,America,,,,92,0.59,0.38,0.33
47.1,0.387209304260752,0.329328787545994,44616626.0,Algeria,Africa,,Africa,,93,44.62,0.39,0.33
47.1,0.479539844757494,0.420708038118405,98168829.0,Vietnam,Asia,,,,94,98.17,0.48,0.42
47.0,0.493145839430982,0.433884577770992,543620.0,Maldives,Asia,,,High risk of debt distress,95,0.54,0.49,0.43
46.9,0.390458882217133,0.328414156271806,9749625.0,Tajikistan,Asia,,,High risk of debt distress,96,9.75,0.39,0.33
46.7,0.445834039980613,0.380524916566795,276361788.0,Indonesia,Asia,,,,97,276.36,0.45,0.38
46.4,0.423240589957843,0.35187604223839,10953714.0,Dominican Republic,America,,,,98,10.95,0.42,0.35
46.4,0.469694686164795,0.398089718431254,22156000.0,Sri Lanka,Asia,,,,99,22.16,0.47,0.4
46.1,0.42108848692845,0.343168452064216,11317498.0,Cuba,America,,,,100,11.32,0.42,0.34
45.4,0.469830680855719,0.377819059617615,2587344.0,Namibia,Africa,,Africa,,101,2.59,0.47,0.38
45.2,0.441713927506467,0.345459776381367,6518500.0,El Salvador,America,,,,102,6.52,0.44,0.35
45.0,0.439372527949505,0.339918534292277,104258327.0,Egypt,Africa,,Africa,,103,104.26,0.44,0.34
44.9,0.454960615647616,0.353420032196431,31732128.0,Ghana,Africa,,Africa,High risk of debt distress,104,31.73,0.45,0.35
44.9,0.438539879662541,0.336991647292766,17888474.0,Ecuador,America,,,,105,17.89,0.44,0.34
44.3,0.41166744710448,0.297685044374381,6769151.0,Lebanon,Asia,,,,106,6.77,0.41,0.3
43.9,0.451228805772085,0.329853913649382,404915.0,Belize,America,,,,107,0.4,0.45,0.33
43.6,0.462078295183088,0.334142800158214,111046910.0,Philippines,Asia,,,,108,111.05,0.46,0.33
43.6,0.435669171425608,0.30691548553242,41179351.0,Iraq,Asia,,,,109,41.18,0.44,0.31
43.5,0.449136784948502,0.319146358879276,17109746.0,Guatemala,America,,,,110,17.11,0.45,0.32
43.2,0.41778389597636,0.281204926237491,2278829.0,Gabon,Africa,,Africa,,111,2.28,0.42,0.28
43.1,0.483261446383265,0.345045809823012,25887045.0,North Korea,Asia,Low income,,,112,25.89,0.48,0.35
43.0,0.418919658825194,0.2795676642001,6958538.0,Libya,Africa,,Africa,,113,6.96,0.42,0.28
43.0,0.50279680997285,0.363206215531515,1393409033.0,India,Asia,,,,114,1393.41,0.5,0.36
42.6,0.47763002197908,0.328808977484479,1002197.0,Djibouti,Africa,,Africa,High risk of debt distress,115,1.0,0.48,0.33
42.4,0.513810882167958,0.362345837499404,223364.0,Sao Tome and Principe,Africa,,Africa,In debt distress,116,0.22,0.51,0.36
42.2,0.395437341750201,0.240045748482592,6117933.0,Turkmenistan,Asia,,,,117,6.12,0.4,0.24
41.8,0.567004833752158,0.402456254171887,106759.0,Tonga,Oceania,,,High risk of debt distress,118,0.11,0.57,0.4
40.8,0.467941808504014,0.282976267699059,11832936.0,Bolivia,America,,,,119,11.83,0.47,0.28
40.6,0.38796901057696,0.199251811763113,28704947.0,Venezuela,America,,,,120,28.7,0.39,0.2
40.5,0.514142378555854,0.324770743958521,7379358.0,Laos,Asia,,,High risk of debt distress,121,7.38,0.51,0.32
40.5,0.517449742969221,0.327703109963758,18920657.0,Zambia,Africa,Low income,Africa,High risk of debt distress,122,18.92,0.52,0.33
40.0,0.558400738749377,0.35885540026923,4775110.0,Mauritania,Africa,,Africa,High risk of debt distress,123,4.78,0.56,0.36
39.8,0.511687422921734,0.30752938652921,1172369.0,Eswatini,Africa,,Africa,,124,1.17,0.51,0.31
39.7,0.443817708377296,0.237078999872076,1449891.0,Equatorial Guinea,Africa,,Africa,,125,1.45,0.44,0.24
39.2,0.47245740913281,0.257392113908751,27224262.0,Cameroon,Africa,,Africa,High risk of debt distress,126,27.22,0.47,0.26
39.2,0.529798143025744,0.313909268173605,2486937.0,Gambia,Africa,Low income,Africa,High risk of debt distress,127,2.49,0.53,0.31
39.1,0.51779596047152,0.300133263306563,54985702.0,Kenya,Africa,,Africa,High risk of debt distress,128,54.99,0.52,0.3
38.7,0.579372173212851,0.353054721818068,116255.0,"Micronesia, Fed. Sts.",Oceania,,,High risk of debt distress,129,0.12,0.58,0.35
38.5,0.460870525177594,0.229978118754997,18275704.0,Syria,Asia,Low income,,,130,18.28,0.46,0.23
38.3,0.518371678546019,0.285083280867037,225199929.0,Pakistan,Asia,,,,131,225.2,0.52,0.29
38.2,0.525009526113568,0.289088032247965,888456.0,Comoros,Africa,,Africa,High risk of debt distress,132,0.89,0.53,0.29
38.1,0.513030464591059,0.275247783397061,32163045.0,Mozambique,Africa,Low income,Africa,In debt distress,133,32.16,0.51,0.28
37.9,0.55817049395349,0.315729008300976,117876226.0,Ethiopia,Africa,Low income,Africa,High risk of debt distress,134,117.88,0.56,0.32
37.7,0.524371844480139,0.279346539379682,9119005.0,Papua New Guinea,Oceania,,,High risk of debt distress,135,9.12,0.52,0.28
37.7,0.563136537997751,0.318080372310877,8141343.0,Sierra Leone,Africa,Low income,Africa,High risk of debt distress,136,8.14,0.56,0.32
37.4,0.50586122712232,0.254809817306302,33933611.0,Angola,Africa,,Africa,,137,33.93,0.51,0.25
37.1,0.492881125652429,0.234020344433696,211400704.0,Nigeria,Africa,,Africa,,138,211.4,0.49,0.23
36.7,0.547513576537147,0.281642307680825,19647681.0,Malawi,Africa,Low income,Africa,High risk of debt distress,139,19.65,0.55,0.28
35.6,0.512200941335931,0.223568376324105,5657017.0,Congo Republic,Africa,,Africa,In debt distress,140,5.66,0.51,0.22
35.5,0.558512240955858,0.267799126718457,12255429.0,Burundi,Africa,Low income,Africa,High risk of debt distress,141,12.26,0.56,0.27
35.4,0.529586966234646,0.237603638890781,11541683.0,Haiti,America,,,High risk of debt distress,142,11.54,0.53,0.24
34.9,0.518014088645414,0.216022806019416,15092171.0,Zimbabwe,Africa,,Africa,In debt distress,143,15.09,0.52,0.22
33.9,0.676129752264291,0.35494691268761,16359500.0,Somalia,Africa,Low income,Africa,In debt distress,144,16.36,0.68,0.35
33.5,0.579588111580719,0.249639134111783,39835428.0,Afghanistan,Asia,Low income,,High risk of debt distress,145,39.84,0.58,0.25
32.7,0.614840261418446,0.269093665480208,44909351.0,Sudan,Africa,Low income,Africa,In debt distress,146,44.91,0.61,0.27
31.9,0.628736705360469,0.26769998918657,2015490.0,Guinea-Bissau,Africa,Low income,Africa,High risk of debt distress,147,2.02,0.63,0.27
31.2,0.586623081225137,0.209720662637063,3213969.0,Eritrea,Africa,Low income,Africa,,148,3.21,0.59,0.21
28.9,0.560927149300608,0.13976006787227,4919987.0,Central African Republic,Africa,Low income,Africa,High risk of debt distress,149,4.92,0.56,0.14
28.4,0.621749327859286,0.189681090273223,16914985.0,Chad,Africa,Low income,Africa,In debt distress,150,16.91,0.62,0.19
,,,,,,,,,151,,,
,,,,,,,,,152,,,
,,,,,,,,,153,,,
,,,,,,,,,154,,,
,,,,,,,,,155,,,
,,,,,,,,,156,,,
,,,,,,,,,157,,,
,,,,,,,,,158,,,
,,,,,,,,,159,,,
,,,,,,,,,160,,,
,,,,,,,,,161,,,
,,,,,,,,,162,,,
,,,,,,,,,163,,,
,,,,,,,,,164,,,
,,,,,,,,,165,,,
,,,,,,,,,166,,,
,,,,,,,,,167,,,
,,,,,,,,,168,,,
,,,,,,,,,169,,,
,,,,,,,,,170,,,
,,,,,,,,,171,,,
,,,,,,,,,172,,,
,,,,,,,,,173,,,
,,,,,,,,,174,,,
,,,,,,,,,175,,,
,,,,,,,,,176,,,
,,,,,,,,,177,,,
,,,,,,,,,178,,,
,,,,,,,,,179,,,
,,,,,,,,,180,,,
,,,,,,,,,181,,,
,,,,,,,,,182,,,
